titre;prix;disponibilite;note_moyenne;description;vendeur;categorie;lien_produit
Dell Latitude...;1133.82;Disponible;14.0;"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro";N/A;Webscraper Varied Allinone All;https://webscraper.io/test-sites/e-commerce/allinone/product/106
Lenovo Yoga 72...;1149.73;Disponible;12.0;"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home";N/A;Webscraper Varied Allinone All;https://webscraper.io/test-sites/e-commerce/allinone/product/114
Galaxy Note;399.99;Disponible;12.0;"10.1"", 3G, Android 4.0, Garnet Red";N/A;Webscraper Varied Scroll All;https://webscraper.io/test-sites/e-commerce/scroll/product/29
Dell Latitude...;1341.22;Disponible;3.0;"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux";N/A;Webscraper Varied Scroll All;https://webscraper.io/test-sites/e-commerce/scroll/product/141
Prestigio Smar...;299.0;Disponible;12.0;"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam";N/A;Webscraper Varied Scroll All;https://webscraper.io/test-sites/e-commerce/scroll/product/62
Apple MacBook...;1333.0;Disponible;0.0;"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG";N/A;Webscraper Varied Static Computers;https://webscraper.io/test-sites/e-commerce/static/product/138
IdeaTab A8-50;121.99;Disponible;13.0;"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2";N/A;Webscraper Varied Static Computers;https://webscraper.io/test-sites/e-commerce/static/product/28
Galaxy Tab;251.99;Disponible;14.0;16GB, White;N/A;Webscraper Varied Static Computers;https://webscraper.io/test-sites/e-commerce/static/product/16
Acer Aspire A5...;679.0;Disponible;9.0;"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG";N/A;Webscraper Varied Ajax Computers;https://webscraper.io/test-sites/e-commerce/ajax/product/48
Dell Latitude...;1187.88;Disponible;5.0;"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro";N/A;Webscraper Varied Ajax Computers;https://webscraper.io/test-sites/e-commerce/ajax/product/119
Apple iPad Air;603.99;Disponible;7.0;Wi-Fi, 64GB, Silver;N/A;Webscraper Varied Ajax Computers;https://webscraper.io/test-sites/e-commerce/ajax/product/30
Sony Xperia;118.99;Disponible;6.0;GPS, waterproof;N/A;Webscraper Varied Static Phones;https://webscraper.io/test-sites/e-commerce/static/product/5
Nokia X;109.99;Disponible;4.0;Andoid, Jolla dualboot;N/A;Webscraper Varied Static Phones;https://webscraper.io/test-sites/e-commerce/static/product/4
LG Optimus;57.99;Disponible;11.0;"3.2"" screen";N/A;Webscraper Varied Static Phones;https://webscraper.io/test-sites/e-commerce/static/product/2
Sony Xperia;118.99;Disponible;6.0;GPS, waterproof;N/A;Webscraper Varied Ajax Phones;https://webscraper.io/test-sites/e-commerce/ajax/product/5
Iphone;899.99;Disponible;1.0;Black;N/A;Webscraper Varied Ajax Phones;https://webscraper.io/test-sites/e-commerce/ajax/product/9
LG Optimus;57.99;Disponible;11.0;"3.2"" screen";N/A;Webscraper Varied Ajax Phones;https://webscraper.io/test-sites/e-commerce/ajax/product/2
Web Scraper;19.99;Disponible;3;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Cloud Scraper;99.99;Disponible;4;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Pricing;99.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Learn Documentation Video Tutorials Test Sites Forum;29.99;Disponible;3.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Documentation;29.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Video Tutorials;99.99;Disponible;3.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Test Sites;29.99;Disponible;4;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Forum;99.99;Disponible;4.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Install;29.99;Disponible;4.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Cloud Login;49.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Home;49.99;Disponible;3.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Computers;19.99;Disponible;4.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Phones;29.99;Disponible;3.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Products;49.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Web Scraper browser extension;79.99;Disponible;4;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Web Scraper Cloud;99.99;Disponible;4.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Company;29.99;Disponible;4;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
About us;49.99;Disponible;3.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Contact;49.99;Disponible;4.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Website Privacy Policy;29.99;Disponible;3.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Browser Extension Privacy Policy;79.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Media kit;49.99;Disponible;3;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Jobs;19.99;Disponible;4.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Resources;29.99;Disponible;4.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Blog;19.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Documentation;29.99;Disponible;4;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Video Tutorials;19.99;Disponible;4;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Screenshots;29.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Test Sites;79.99;Disponible;3;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Forum;99.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Status;19.99;Disponible;5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
CONTACT US;19.99;Disponible;4;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
info@webscraper.io;79.99;Disponible;4.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
Ubelu 5-71, Adazi, Latvia, LV-2164;49.99;Disponible;3.5;;N/A;Webscraper Varied Static Clothes;https://webscraper.io/test-sites/e-commerce/static/clothes
sunt aut facere repellat provident occaecati excep;2.0;Rupture;3.5;quia et suscipit suscipit recusandae consequuntur expedita et cum reprehenderit molestiae ut ut quas totam nostrum rerum est autem sunt rem eveniet architecto;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
qui est esse;4.0;Rupture;5;est rerum tempore vitae sequi sint nihil reprehenderit dolor beatae ea dolores neque fugiat blanditiis voluptate porro vel nihil molestiae ut reiciendis qui aperiam non debitis possimus qui neque nisi;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
ea molestias quasi exercitationem repellat qui ips;6.0;Rupture;3.5;et iusto sed quo iure voluptatem occaecati omnis eligendi aut ad voluptatem doloribus vel accusantium quis pariatur molestiae porro eius odio et labore et velit aut;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
eum et est occaecati;8.0;Rupture;4.5;ullam et saepe reiciendis voluptatem adipisci sit amet autem assumenda provident rerum culpa quis hic commodi nesciunt rem tenetur doloremque ipsam iure quis sunt voluptatem rerum illo velit;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
nesciunt quas odio;10.0;Disponible;4;repudiandae veniam quaerat sunt sed alias aut fugiat sit autem sed est voluptatem omnis possimus esse voluptatibus quis est aut tenetur dolor neque;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
dolorem eum magni eos aperiam quia;12.0;Disponible;4;ut aspernatur corporis harum nihil quis provident sequi mollitia nobis aliquid molestiae perspiciatis et ea nemo ab reprehenderit accusantium quas voluptate dolores velit et doloremque molestiae;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
magnam facilis autem;14.0;Rupture;5;dolore placeat quibusdam ea quo vitae magni quis enim qui quis quo nemo aut saepe quidem repellat excepturi ut quia sunt ut sequi eos ea sed quas;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
dolorem dolore est ipsam;16.0;Rupture;3;dignissimos aperiam dolorem qui eum facilis quibusdam animi sint suscipit qui sint possimus cum quaerat magni maiores excepturi ipsam ut commodi dolor voluptatum modi aut vitae;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
nesciunt iure omnis dolorem tempora et accusantium;18.0;Disponible;4.5;consectetur animi nesciunt iure dolore enim quia ad veniam autem ut quam aut nobis et est aut quod aut provident voluptas autem voluptas;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
optio molestias id quia eum;20.0;Disponible;3;quo et expedita modi cum officia vel magni doloribus qui repudiandae vero nisi sit quos veniam quod sed accusamus veritatis error;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
et ea vero quia laudantium autem;22.0;Disponible;3;delectus reiciendis molestiae occaecati non minima eveniet qui voluptatibus accusamus in eum beatae sit vel qui neque voluptates ut commodi qui incidunt ut animi commodi;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
in quibusdam tempore odit est dolorem;24.0;Rupture;3;itaque id aut magnam praesentium quia et ea odit et ea voluptas et sapiente quia nihil amet occaecati quia id voluptatem incidunt ea est distinctio odio;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
dolorum ut in voluptas mollitia et saepe quo animi;26.0;Disponible;4;aut dicta possimus sint mollitia voluptas commodi quo doloremque iste corrupti reiciendis voluptatem eius rerum sit cumque quod eligendi laborum minima perferendis recusandae assumenda consectetur por;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
voluptatem eligendi optio;28.0;Rupture;3;fuga et accusamus dolorum perferendis illo voluptas non doloremque neque facere ad qui dolorum molestiae beatae sed aut voluptas totam sit illum;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
eveniet quod temporibus;30.0;Disponible;3;reprehenderit quos placeat velit minima officia dolores impedit repudiandae molestiae nam voluptas recusandae quis delectus officiis harum fugiat vitae;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
sint suscipit perspiciatis velit dolorum rerum ips;32.0;Disponible;3.5;suscipit nam nisi quo aperiam aut asperiores eos fugit maiores voluptatibus quia voluptatem quis ullam qui in alias quia est consequatur magni mollitia accusamus ea nisi voluptate dicta;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
fugit voluptas sed molestias voluptatem provident;34.0;Disponible;3;eos voluptas et aut odit natus earum aspernatur fuga molestiae ullam deserunt ratione qui eos qui nihil ratione nemo velit ut aut id quo;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
voluptate et itaque vero tempora molestiae;36.0;Rupture;4.5;eveniet quo quis laborum totam consequatur non dolor ut et est repudiandae est voluptatem vel debitis et magnam;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
adipisci placeat illum aut reiciendis qui;38.0;Disponible;4.5;illum quis cupiditate provident sit magnam ea sed aut omnis veniam maiores ullam consequatur atque adipisci quo iste expedita sit quos voluptas;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
doloribus ad provident suscipit at;40.0;Rupture;4.5;qui consequuntur ducimus possimus quisquam amet similique suscipit porro ipsam amet eos veritatis officiis exercitationem vel fugit aut necessitatibus totam omnis rerum consequatur expedita quidem cum;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
asperiores ea ipsam voluptatibus modi minima quia;42.0;Rupture;3;repellat aliquid praesentium dolorem quo sed totam minus non itaque nihil labore molestiae sunt dolor eveniet hic recusandae veniam tempora et tenetur expedita sunt;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
dolor sint quo a velit explicabo quia nam;44.0;Disponible;3;eos qui et ipsum ipsam suscipit aut sed omnis non odio expedita earum mollitia molestiae aut atque rem suscipit nam impedit esse;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
maxime id vitae nihil numquam;46.0;Disponible;5;veritatis unde neque eligendi quae quod architecto quo neque vitae est illo sit tempora doloremque fugit quod et et vel beatae sequi ullam sed tenetur perspiciatis;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
autem hic labore sunt dolores incidunt;48.0;Rupture;3.5;enim et ex nulla omnis voluptas quia qui voluptatem consequatur numquam aliquam sunt totam recusandae id dignissimos aut sed asperiores deserunt;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
rem alias distinctio quo quis;50.0;Disponible;3;ullam consequatur ut omnis quis sit vel consequuntur ipsa eligendi ipsum molestiae et omnis error nostrum molestiae illo tempore quia et distinctio;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
est et quae odit qui non;52.0;Rupture;4;similique esse doloribus nihil accusamus omnis dolorem fuga consequuntur reprehenderit fugit recusandae temporibus perspiciatis cum ut laudantium omnis aut molestiae vel vero;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
quasi id et eos tenetur aut quo autem;54.0;Disponible;5;eum sed dolores ipsam sint possimus debitis occaecati debitis qui qui et ut placeat enim earum aut odit facilis consequatur suscipit necessitatibus rerum sed inventore temporibus consequatur;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
delectus ullam et corporis nulla voluptas sequi;56.0;Disponible;4.5;non et quaerat ex quae ad maiores maiores recusandae totam aut blanditiis mollitia quas illo ut voluptatibus voluptatem similique nostrum eum;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
iusto eius quod necessitatibus culpa ea;58.0;Rupture;3;odit magnam ut saepe sed non qui tempora atque nihil accusamus illum doloribus illo dolor eligendi repudiandae odit magni similique sed cum maiores;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
a quo magni similique perferendis;60.0;Disponible;3;alias dolor cumque impedit blanditiis non eveniet odio maxime blanditiis amet eius quis tempora quia autem rem a provident perspiciatis quia;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
ullam ut quidem id aut vel consequuntur;62.0;Disponible;3.5;debitis eius sed quibusdam non quis consectetur vitae impedit ut qui consequatur sed aut in quidem sit nostrum et maiores adipisci atque quaerat voluptatem adipisci repudiandae;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
doloremque illum aliquid sunt;64.0;Rupture;5;deserunt eos nobis asperiores et hic est debitis repellat molestiae optio nihil ratione ut eos beatae quibusdam distinctio maiores earum voluptates et aut adipisci ea maiores voluptas maxime;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
qui explicabo molestiae dolorem;66.0;Disponible;4;rerum ut et numquam laborum odit est sit id qui sint in quasi tenetur tempore aperiam et quaerat qui in rerum officiis sequi cumque quod;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
magnam ut rerum iure;68.0;Rupture;3;ea velit perferendis earum ut voluptatem voluptate itaque iusto totam pariatur in nemo voluptatem voluptatem autem magni tempora minima in est distinctio qui assumenda accusamus dignissimos officia ne;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
id nihil consequatur molestias animi provident;70.0;Rupture;3.5;nisi error delectus possimus ut eligendi vitae placeat eos harum cupiditate facilis reprehenderit voluptatem beatae modi ducimus quo illum voluptas eligendi et nobis quia fugit;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
fuga nam accusamus voluptas reiciendis itaque;72.0;Disponible;3.5;ad mollitia et omnis minus architecto odit voluptas doloremque maxime aut non ipsa qui alias veniam blanditiis culpa aut quia nihil cumque facere et occaecati qui aspernatur quia eaque ut aperiam inve;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
provident vel ut sit ratione est;74.0;Disponible;5;debitis et eaque non officia sed nesciunt pariatur vel voluptatem iste vero et ea numquam aut expedita ipsum nulla in voluptates omnis consequatur aut enim officiis in quam qui;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
explicabo et eos deleniti nostrum ab id repellendu;76.0;Rupture;3;animi esse sit aut sit nesciunt assumenda eum voluptas quia voluptatibus provident quia necessitatibus ea rerum repudiandae quia voluptatem delectus fugit aut id quia ratione optio eos iusto veniam iu;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
eos dolorem iste accusantium est eaque quam;78.0;Disponible;3.5;corporis rerum ducimus vel eum accusantium maxime aspernatur a porro possimus iste omnis est in deleniti asperiores fuga aut voluptas sapiente vel dolore minus voluptatem incidunt ex;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
enim quo cumque;80.0;Disponible;4.5;ut voluptatum aliquid illo tenetur nemo sequi quo facilis ipsum rem optio mollitia quas voluptatem eum voluptas qui unde omnis voluptatem iure quasi maxime voluptas nam;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
non est facere;82.0;Rupture;3.5;molestias id nostrum excepturi molestiae dolore omnis repellendus quaerat saepe consectetur iste quaerat tenetur asperiores accusamus ex ut nam quidem est ducimus sunt debitis saepe;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
commodi ullam sint et excepturi error explicabo pr;84.0;Disponible;4.5;odio fugit voluptatum ducimus earum autem est incidunt voluptatem odit reiciendis aliquam sunt sequi nulla dolorem non facere repellendus voluptates quia ratione harum vitae ut;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
eligendi iste nostrum consequuntur adipisci praese;86.0;Rupture;3;similique fugit est illum et dolorum harum et voluptate eaque quidem exercitationem quos nam commodi possimus cum odio nihil nulla dolorum exercitationem magnam ex et a et distinctio debitis;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
optio dolor molestias sit;88.0;Rupture;4;temporibus est consectetur dolore et libero debitis vel velit laboriosam quia ipsum quibusdam qui itaque fuga rem aut ea et iure quam sed maxime ut distinctio quae;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
ut numquam possimus omnis eius suscipit laudantium;90.0;Disponible;3.5;est natus reiciendis nihil possimus aut provident ex et dolor repellat pariatur est nobis rerum repellendus dolorem autem;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
aut quo modi neque nostrum ducimus;92.0;Disponible;4.5;voluptatem quisquam iste voluptatibus natus officiis facilis dolorem quis quas ipsam vel et voluptatum in aliquid;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
quibusdam cumque rem aut deserunt;94.0;Rupture;4.5;voluptatem assumenda ut qui ut cupiditate aut impedit veniam occaecati nemo illum voluptatem laudantium molestiae beatae rerum ea iure soluta nostrum eligendi et voluptate;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
ut voluptatem illum ea doloribus itaque eos;96.0;Disponible;4;voluptates quo voluptatem facilis iure occaecati vel assumenda rerum officia et illum perspiciatis ab deleniti laudantium repellat ad ut et autem reprehenderit;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
laborum non sunt aut ut assumenda perspiciatis vol;98.0;Rupture;4.5;inventore ab sint natus fugit id nulla sequi architecto nihil quaerat eos tenetur in in eum veritatis non quibusdam officiis aspernatur cumque aut commodi aut;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
repellendus qui recusandae incidunt voluptates ten;100.0;Rupture;5;error suscipit maxime adipisci consequuntur recusandae voluptas eligendi et est et voluptates quia distinctio ab amet quaerat molestiae et vitae adipisci impedit sequi nesciunt quis consectetur;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
soluta aliquam aperiam consequatur illo quis volup;102.0;Disponible;3;sunt dolores aut doloribus dolore doloribus voluptates tempora et doloremque et quo cum asperiores sit consectetur dolorem;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
qui enim et consequuntur quia animi quis voluptate;104.0;Disponible;3;iusto est quibusdam fuga quas quaerat molestias a enim ut sit accusamus enim temporibus iusto accusantium provident architecto soluta esse reprehenderit qui laborum;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
ut quo aut ducimus alias;106.0;Disponible;3.5;minima harum praesentium eum rerum illo dolore quasi exercitationem rerum nam porro quis neque quo consequatur minus dolor quidem veritatis sunt non explicabo similique;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
sit asperiores ipsam eveniet odio non quia;108.0;Disponible;4.5;totam corporis dignissimos vitae dolorem ut occaecati accusamus ex velit deserunt et exercitationem vero incidunt corrupti mollitia;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
sit vel voluptatem et non libero;110.0;Rupture;3;debitis excepturi ea perferendis harum libero optio eos accusamus cum fuga ut sapiente repudiandae et ut incidunt omnis molestiae nihil ut eum odit;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
qui et at rerum necessitatibus;112.0;Disponible;4;aut est omnis dolores neque rerum quod ea rerum velit pariatur beatae excepturi et provident voluptas corrupti corporis harum reprehenderit dolores eligendi;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
sed ab est est;114.0;Rupture;3;at pariatur consequuntur earum quidem quo est laudantium soluta voluptatem qui ullam et est et cum voluptas voluptatum repellat est;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
voluptatum itaque dolores nisi et quasi;116.0;Rupture;4.5;veniam voluptatum quae adipisci id et id quia eos ad et dolorem aliquam quo nisi sunt eos impedit error ad similique veniam;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
qui commodi dolor at maiores et quis id accusantiu;118.0;Rupture;4.5;perspiciatis et quam ea autem temporibus non voluptatibus qui beatae a earum officia nesciunt dolores suscipit voluptas et animi doloribus cum rerum quas et magni et hic ut ut commodi expedita sunt;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
consequatur placeat omnis quisquam quia reprehende;120.0;Disponible;3.5;asperiores sunt ab assumenda cumque modi velit qui esse omnis voluptate et fuga perferendis voluptas illo ratione amet aut et omnis;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
voluptatem doloribus consectetur est ut ducimus;122.0;Disponible;4;ab nemo optio odio delectus tenetur corporis similique nobis repellendus rerum omnis facilis vero blanditiis debitis in nesciunt doloribus dicta dolores magnam minus velit;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
beatae enim quia vel;124.0;Rupture;4.5;enim aspernatur illo distinctio quae praesentium beatae alias amet delectus qui voluptate distinctio odit sint accusantium autem omnis quo molestiae omnis ea eveniet optio;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
voluptas blanditiis repellendus animi ducimus erro;126.0;Rupture;3.5;enim adipisci aspernatur nemo numquam omnis facere dolorem dolor ex quis temporibus incidunt ab delectus culpa quo reprehenderit blanditiis asperiores accusantium ut quam in voluptatibus voluptas ipsa;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
et fugit quas eum in in aperiam quod;128.0;Rupture;5;id velit blanditiis eum ea voluptatem molestiae sint occaecati est eos perspiciatis incidunt a error provident eaque aut aut qui;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
consequatur id enim sunt et et;130.0;Rupture;4.5;voluptatibus ex esse sint explicabo est aliquid cumque adipisci fuga repellat labore molestiae corrupti ex saepe at asperiores et perferendis natus id esse incidunt pariatur;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
repudiandae ea animi iusto;132.0;Rupture;3.5;officia veritatis tenetur vero qui itaque sint non ratione sed et ut asperiores iusto eos molestiae nostrum veritatis quibusdam et nemo iusto saepe;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
aliquid eos sed fuga est maxime repellendus;134.0;Rupture;4.5;reprehenderit id nostrum voluptas doloremque pariatur sint et accusantium quia quod aspernatur et fugiat amet non sapiente et consequatur necessitatibus molestiae;Digital Store;Digital Content;https://jsonplaceholder.typicode.com/posts
